tipo;categoria;cue;nombre;domicilio;turno;localidad;porcentaje_zona;zona
;;4600895;Instituto de Educación Técnica N° 1;;;Olta;10;F
;;4600256;Bachillerato Para Adultos;;;Chamical;;L
;;4600876;CASC (centro de Anim. Soc Cultural);;;Olta;;F
;;4600875;CEJA ( Bachillerato para Adultos);;;Olta;;F
;;4600753;Centro de Educacion Física N°3;;;Chepes;;O
;;4600480;E. P. E. T.  N° 1;ROQUE SAENZ PEÑA S/N;;Chepes;;O
;;4600417;Colegio Provincial;JOAQUÍN V. GONZÁLEZ N° 255;;Chepes;;O
;;4600479;Escuela Normal Superior;CASTRO BARROS Nº 550;;Chepes;;O
;;4600519;Colegio Secundario;CALLE PUBLICA S/Nº ;;El Portezuelo;55;N
;;4600515;Colegio Provincial J.Z. Agüero Vera;MOSEÑOR ANGELELLI S/N;;Malanzan;40;N
;;4600516;Colegio Secundario;PARAJE NIÑO ALCALDE;;Nacate;70;N
;;4600387;Escuela Agrotécnica;ELTOTORAL;;El Totoral;120;O
;;;Exp. Pilot. Itinerante;;;Nacate;70;N
;;4600794;Prog. De Educ. A Distancia Adul;;;San Martin;30;J
;;;Centro Cultural Joaquín V González;;;Chepes;;O
;;4600479;Escuela Normal extension aulica villacasana;VILLA CASANA;;Villa Casana;100;O
;;4600470;Escuela de Comercio;AV. SAN MARTIN;;Ulapes;30;O
;;4600468;Escuela Agropecuaria GRAL. MANUEL BELGRANO;AV. SAN MARTÍN;;Ulapes;30;O
;;4600468;ver nombre institucion;AV. SAN MARTÍN;;Ulapes;30;J
;;4600826;COLEGIO SECUNDARIO EL CADILLO ;EL CADILLO;;Ulapes;120;J
;;4600481;CEJA (Bachillerato para Adultos);;;Chepes;;O
;;4600517;CEJA (Bachillerato Para Adultos);;;El Portezuelo;55;N
;;4600483;Colegio Secundario;SARMIENTO N° 126;;Milagro;30;I
;;4600484;Escuela Pcial. De Comercio;SARMIENTO Nº 126;;Milagro;30;I
;;4600430;Colegio Secundario;SANTA RITA DE CATUNA;;Catuna;40;I
;;4600478;Colegio Secundario;FACUNDO QUIROGA S/Nº;;Desiderio Tello;40;O
;;4600521;Colegio Secundario;CASTRO BARROS S/Nº;;Olpas;70;I
;;4600437;Colegio Secundario;AMBIL;;Ambil;70;I
;;4600424;Bachillerato para Adultos;;;Milagro;30;I
;;4600429;CEJA (Centro Educ. para Jov. Y Adultos;;;Catuna;40;I
;;;C.A.S.C;;;Milagro;30;I
superior;;;;;;;;
;;;SEDE SUPERVISION ZONA I;;;VILLA UNION;40;H
;;4600201;I.S.F.D.” Dr. Eusebio N. Páez”;;;Villa Unión;40;H
;;4600321;I.S.F.D. Y T. P.;;;Vinchina;55;K
;;4600325;I.S.F.D Prof. Victor Mauricio Quintero;18 de noviembre s/n;;Villa Castelli;70;G
;;4600846;I.S.F.D. Y T. Gral Felipe Varela;;;Guandacol;100;H
;;;SEDE SUPERVISION ZONA II;;;CHILECITO;;D
;;4600230;I.S.F.D. “Alberto G. Cavero;Leovino D. Martinez N° 160;;Chilecito;;D
;;4600817;I.S.F.D. “Joaquín V. González”;Alberto G. Ocampo N° 48;;Chilecito;;D
;;4600140;I.S.F.D. Y T.;19 de Abril S/N;;Famatina;30;E
;;4600317;I.S.F.T.;;;Nonogasta;30;D
;;4600316;I.S.F.D.;;;Sañogasta;30;D
;;4600847;I.S.F.T.P ;Victoria Romero S/N;;Pituil;55;E
;;;SEDE SUPERVISION ZONA III;;;AIMOGASTA;;A
;;4600950;I.S.F.D. Lengua e Historia(Severo Chumbita);;;Aimogasta;;A
;;4600122;I.S.F.D. “Madre Teresa de Calcuta”;;;Anjullon;30;C
;;4600106;I.S.F.D;;;Los Robles;30;R
;;;;;;;;
;;;MIEMBROS DE JUNTA ;Bulnes y Caja de Ahorro B° Evita;M-T;Capital;;B
;;4600467;ISFD Alberto Cavero;;;Patquía;30;B
;;4600188;I.S.F.D. “Prof. Ricardo Viñas”;;M-T;Capital;;B
;;4600053;I.S.F.D. “Albino S.  Barros”;;M-T-N;Capital;;B
;;4600060;I.S.F.D Y T. Prof. Alberto Mario Crulcich;Santa Fe esq. Hipolito Irigoyen;M-T-N;Capital;;B
;;4600182;I.S.F.D. “Dra. Carolina T. García”;Avda. Facundo Quiroga ;M-T;Capital;;B
;;4600740;I.S.F.T “Otto Krausse”;;;Capital;;B
;;4600821;I.S.F.D. “P. I. Castro Barros;;;Capital;;B
;;4600740;I.S.F.T “BRIGADIER JUAN F. QUIROGA”;;M-T;Capital;;B
;;;EQUIPOS TECNICOS - CASA CENTRAL;Catamarca N° 65;M-T;Capital;;B
;;;EQUIPOS TECNICOS - CASA CENTRAL;Catamarca N° 65;M-T;Capital;;B
;;;EQUIPOS TECNICOS - CASA CENTRAL;Catamarca N° 65;M-T;Capital;;B
;;;SEDE SUPERVISION ZONA V;;;Chamical;;L
;;4600330;I.S.F.D. “Teresa Cavero”;;;Chamical;;L
;;4600491;I.S.F.D. “Artemio Moreno”;;;Olta;10;F
;;4600488;I.S.F.T. “Victoria Romero”;;;Tama;30;S
;;4600332;I.S.F.D. “Marta Estela Barrera de Artaza”;;;Chañar;40;F
;;4600732;I.S.F.D “José Salinas”;;;Olta;10;F
;;;SEDE SUPERVISION ZONA VI;;;CHEPES;;O
;;4600415;I.S.F.T.P. “Brigadier Juan F. Quiroga;;;Chepes;;O
;;4600472;I.S.F.D.de Educacion Inicial;;;Chepes;;O
;;4600416;I.S.F.D. De Lengua e Historia;;;Chepes;;O
;;4600502;I.S.F.T. y D. PRESBITERO LUIS PRADELLA;;;Malanzan;40;N
;;4600733;I.S.F.D. “Juan F. Quiroga”;;;Chepes;;O
;;4600465;ISFD Ariel Ferraro;;;Ulapes;30;J
;;;SEDE SUPERVISION ZONA VII;;;MILAGRO;40;I
;;4600482;I.S.F.D. “Ceferino Quintiero”;;;Milagro;30;I
;;4600428;I.S.F.T. (TECNICATURA);;;Catuna;40;I
;;4600140;I.S.F.T;;;Desiderio Tello;40;O
;;4600777;Centro de Educación Física N° 4;;;Villa Unión;40;H
;;4600199;Colegio Pcial. R.V. Peñaloza;AV. PERON S/N;;Villa Unión;40;H
;;4600320;Escuela Profesional Mixta;LAS CARRERAS Bº TROYANOS;;Vinchina;55;K
;;4600319;Colegio Secundario ;CARLOS SAUL MENEN Bº LAS PIEDRITAS;;Vinchina;55;K
;;4600251;Colegio Secund. Agrotécnico Dr. Carlos S. Menem;18 DE NOVIEMBRE S/N;;Villa Castelli;70;G
;;4600754;Centro de Educacion Física N° 7;;;Guandacol;100;H
;;4600159;Colegio Secundario Mons. E. Angelelli;SAN MARTIN S/N;;Guandacol;100;H
;;4600755;Centro de Educacion Física N° 8;;;Pagancillo;55;H
;;4600540;Colegio Secundario Prof. Ana Maria Morales;AV. 24 DE SEPTIEMBRE;;Pagancillo;55;H
;;4600168;Colegio Secundario Arsenio Salinas;CALLE PRINCIPAL S/N;;Aicuña;100;H
;;4600325;I.S.F.D Prof. Victor Mauricio Quintero;18 de noviembre s/n;;Villa Castelli;70;G
;;4600177;CEJA (Bachillerato para Adultos);;;Villa Unión;40;H
;;4600758;CASC (Cent. Animac. Soc. Cultural);;;Villa Unión;40;H
;;4600762;Cent. Animac. Soc. Cultural;;;Villa Castelli;70;G
;;4600252;CEJA (Bachillerato para Adultos);;;Villa Castelli;70;G
;;4600804;Cent. Animac. Soc. Cultural;;;Guandacol;100;H
;;4600240;Centro Polivalente de Arte;ADOLFO E. DAVILA 195;;Chilecito;;D
;;4600198;Escuela Pcial. De Comercio;Maxino Martinez y  Castro Barros;;Chilecito;;D
;;4600207;Cent. de Educacion Física N°2;Vicente Almonacid N° 351;;Chilecito;;D
;;4600233;E. P. E. T.  N° 2;ANGEL V. PEÑALOZA 92;;Chilecito;;D
;;4600231;E. P. E. T.  N° 1;Leovino D. Martinez esq. Alb. Cavero;;Chilecito;;D
;;4600226;Escuela Normal Superior;ALBERTO G. OCAMPO 48;;Chilecito;;D
;;4600237;Colegio Secundario;Bolivar S/N;;Nonogasta;30;D
;;4600179;Escuela Pcial. De Comercio;Joaquin V. Gonzalez S/N;;Nonogasta;30;D
;;4600119;Escuela Pcial. De Comercio;CALLE PRINCIPAL S/N;;Famatina;30;E
;;4600689;Misión Monotecnica N° 1;;;Famatina;30;E
;;4600137;Escuela Agropecuaria;RUTA NAC. Nº 40 S/N;;Famatina;30;E
;;4600663;Centro de Educacion Agrícola;;;Famatina;30;E
;;4600313;Colegio Pcial. Jose Manuel Estrada;Barrio Juan D. Peron S/N;;Vichigasta;30;D
;;4600177;Colegio Secundario;Gral. San Martin de Guemes N° 85;;Anguinan;30;D
;;4600134;Colegio Secundario San Jose de Capmanas;Calle Principal S/N B° san Nicolas;;Campanas;55;E
;;4600136;Colegio Secundario;SANTO DOMINGO S/N;;Pituil;55;E
;;4600311;Colegio Secundario;CAMINO DEL PEREGRINO S/N;;Malligasta;30;D
;;4600136;Coleg. Secund. Anexo Pituil;SANTO DOMINGO S/N;;Santa Cruz;100;E
;;4600799;Cent. Educ.Rosario Ocampo de Iribarren;Calle 21 de Septiembre S/N;;Nonogasta;30;D
;;4600866;Colegio Sec.Pcial. Nº 16;24 DE ABRIL Y 15 DE JUNIO B° ALTOS DE Chilecito;;Chilecito;;D
;;4600886;Taller de Espec. “Mi Nuevo Sueño” ;;;Campanas;55;E
;;4600230;I.S.F.D. “Alberto G. Cavero;Leovino D. Martinez N° 160;;Chilecito;;D
;;4600817;I.S.F.D. “Joaquín V. González”;Alberto G. Ocampo N° 48;;Chilecito;;D
;;4600140;I.S.F.D. Y T.;19 de Abril S/N;;Famatina;30;E
;;4600847;I.S.F.T.P ;Victoria Romero S/N;;Pituil;55;E
;;4600234;CEJA (EVA DUARTE DE PERON);;;Chilecito;;D
;;4600236;CEJA (Bachillerato para Adultos);;;Nonogasta;30;D
;;4600794;Cent. Educ. Jov. Y Adulto;;;Famatina;70;E
;;4600794;Cent. Educ. Jov. Y Adulto;;;Pituil;55;E
;;4600133;Escuela Agrotécnica;SEVERO CHUMBITA S/Nº;;Machigasta;30;A
;;4600790;Esc. De Enseñanza Artística;;;Aimogasta;30;A
;;4600073;Colegio Pcial. Sánchez Oviedo;20 DE MAYO 650;;Aimogasta;30;A
;;4600839;Colegio Provincial;JOAQUÍN V. G S/N ;;Anjullón;30;C
;;4600128;Escuela Agropecuaria;RUTA 75 KM 72;;Pinchas;30;C
;;4600116;Colegio Provincial;AV. CESAR VALLEJO S/N;;Villa Mazan;30;A
;;4600146;Colegio Provincial;LA PLATA S/Nº ANILLACO;;Anillaco;30;C
;;4600490;Centro Educativo;;;Villa Mazan;30;A
;;4600885;Anexo Sánchez Oviedo “Pcia de Salta”;;;Aimogasta;;A
;;4600803;Colegio Provincial;AV. PEDRO I. DE CASTRO BARROS;;Aminga;30;C
;;4600885;Colegio Provincial N° 17;Aimogasta;;Talacan;;A
;;4600046;CEJA (Bachillerato para Adultos);;;Aimogasta;;A
;;4600763;Cent. Anim. Socio Cultural;;;Los Sauces;30;R
;;4600765;Cent. Anim. Socio Cultural;;;Los Molinos;40;C
;;4600108;CEJA (Bachillerato para Adultos);;;Los Sauces;30;R
;;4600066;Colegio Básico Secundario;CARLOS ALVAREZ S/Nº ;;Sanagasta;30;P
;;4600061;Colegio Provincial N° 1;SAN NICOLAS DE BARI (O)N° 763;M-T-N;Capital;;B
;;4600058;Colegio Provincial N° 2;BASE MARGARITA Y 2 DE ABRIL;;Capital;;B
;;4600064;Colegio Provincial N° 3;30 DE SEPTIEMBRE S/N;;Capital;;B
;;4600156;Colegio Provincial Nº 4;BONDEMBENDER Y LAS HERAS S/N Bº 12 DE JUNIO;;Capital;;B
;;4600221;Colegio Pcial. Politécnico;JOAQUIN V. GONZALEZ 230;;Capital;;B
;;4600187;E.P.E.T. N° 1;AVDA. JUAN D. PERON Nº 1117;M-T;Capital;;B
;;4600223;E.P.E.T. N° 2 ;AVDA. JUAN D.PERON Nº 820;M-T;Capital;;B
;;4600049;Escuela Pcial. Comercio N° 1;25 DE MAYO ESQ SAN ISIDRO;M-T-N;Capital;;B
;;4600197;Escuela Pcial. Comercio N° 2;JOSE OYOLA ESQ. BAZAN Y BUSTOS B° SAN VICENTE;M-T;Capital;;B
;;4600645;Centro Formación Prof. N° 2;;;Capital;;B
;;4600766;Centro Educación Física N° 5;;;Capital;;B
;;4600208;Esc. Normal Sup. P.I. Castro B;RIVADAVIA Y TAJAMAR;M-T;Capital;;B
;;4600186;Escuela de Operadores Topog;Cabo 1° Pérez y Jeréz B° Alta Rioja ;;Capital;;B
;;4600081;Centro Polivalente de Arte;SECTOR 5 PEATONAL 500 Bº HOSPITAL;M-T;Capital;;B
;;4600809;Colegio Provincial N° 8;JULIO CAMPOS S/Nº Bº 20 DE MAYO;;Capital;;B
;;4600810;Colegio Provincial N° 9;AVDA. SAN FRANCISCO LA QUEBRADA;;Capital;10;B
;;4600811;Colegio Provincial N° 10;APOSTOL PEDRO Y APOSTOL SAN JUDAS TADEO B° SAN CAYETANO;;Capital;;B
;;4600838;Colegio Provincial N° 14;CHEPES S/N B° SAN JOSÉ OBRERO;;Capital;;B
;;4600865;Colegio Provincial Nº 15;Indio Sanagua esq. Lucena - B° YACAMPIS;;Capital;;B
;;4600219;Esc. N° 247 “San Francisco”;Bazan y Bustos N° 661;;Capital;;B
;;4600819;Colegio Provincial Nº 12;Felipe Ibarra S/N B° Nueva Rioja;;Capital;;B
;;4600831;Colegio Provincial N° 7;AVDA. SAN NICOLAS DE BARI ESTE;;Capital;;B
;;4600528;Coleg. Secund. “Alberto Breyer”;AVDA. PERON;;Patquia;30;M
;;4600818;Colegio Provincial N° 11;RUTA Nº 5 Km 10 Colonia Frutihortícola;;Capital;40;B
;;4600820;Colegio Provincial N° 13;Ramón Navarro S/N Bº FALDEO DEL VELAZCO SUR;;Capital;;B
;;;Escuela I. R. S.;;;Capital;;B
;;4600807;Colegio Provincial N° 5;CALLE 26 ESQ. LOMA BLANCA S/Nº;;Capital;;B
;;4600808;Colegio Provincial N° 6;CALLE PÚBLICA Bº MARIA AUGUSTA;;Capital;10;B
;;4600882;Colegio Provincial N° 18;RICARDO QUIROGA S/N URBANO 40;;Capital;;B
;;4600889;Colegio Provincial N° 19;B° NESTOR KIRCHNER;;Capital;;B
;;4600900;Colegio Provincial N° 20;B° LAS AGAVES;;Capital;;B
;;4600904;Colegio Provincial N° 21;rutammmmmm;;;;
;;;MIEMBROS DE JUNTA ;Bulnes y Caja de Ahorro B° Evita;M-T;Capital;;B
;;4600060;I.S.F.D Y T. Prof. Alberto Mario Crulcich;Santa Fe esq. Hipolito Irigoyen;M-T-N;Capital;;B
;;4600182;I.S.F.D. “Dra. Carolina T. García”;Avda. Facundo Quiroga ;M-T;Capital;;B
;;;EQUIPOS TECNICOS - CASA CENTRAL;Catamarca N° 65;M-T;Capital;;B
;;;EQUIPOS TECNICOS - CASA CENTRAL;Catamarca N° 65;M-T;Capital;;B
;;;EQUIPOS TECNICOS - CASA CENTRAL;Catamarca N° 65;M-T;Capital;;B
;;4600216;C.E.N.S. N° 150;;;Capital;;B
;;4600191;C.E.J.A. N° 187;;;Capital;;B
;;4600154;C.E.N.S. N° 326;;;Capital;;B
;;4600779;Centro de Formación Laboral;;;Capital;;B
;;;Formación y Empleo p/ Jóvenes;;;Capital;;B
;;4600328;Escuela Tecnica Agropecuaria EMETA;RUTA N° 25 KM 4 - PARAJE SAN BARTOLO;;Chamical;40;L
;;4600752;Centro de Educacion Física N° 1 ;;;Chamical;;L
;;4600301;Escuela Polivalente de Arte;CARLOS DE DIOS MURIAS Nº 169;;Chamical;;L
;;4600298;Escuela Provincial de Comercio;GABRIEL LONGUIVILLE Nº 69;;Chamical;;L
;;4600299;E. P. E. T.  N° 1;Córdoba N° 445;;Chamical;;L
;;4600757;Misión Monotécnica n°58;;;Olta;10;F
;;4600773;Centro de Educacion Física N° 6;;;Olta;10;F
;;4600494;Esc. Normal Sup. “Rep.de Haiti”;JOSE SALINAS Nº 348;;Olta;10;F
;;4600527;Coleg. Provincial Abel Bazán Y Bustos;RUTA Nº 29 ACCESO NORTE;;Tama;30;S
;;4600469;Colegio secundario;PUNTA DE LOS LLANOS;;P. de los Llanos;30;S
;;4600492;Colegio Secundario;AV. ÁNGEL V. PEÑALOZA S/N LOMA BLANCA;;Loma Blanca;40;F
;;4600876;CASC (centro de Anim. Soc Cultural);;;Olta;;F
;;4600875;CEJA ( Bachillerato para Adultos);;;Olta;;F
;;4600256;Bachillerato Para Adultos;;;Chamical;;L
;;4600876;CASC (centro de Anim. Soc Cultural);;;Olta;;F
;;4600875;CEJA ( Bachillerato para Adultos);;;Olta;;F
;;4600753;Centro de Educacion Física N°3;;;Chepes;;O
;;4600417;Colegio Provincial;JOAQUÍN V. GONZÁLEZ N° 255;;Chepes;;O
;;4600479;Escuela Normal Superior;CASTRO BARROS Nº 550;;Chepes;;O
;;4600519;Colegio Secundario;CALLE PUBLICA S/Nº ;;El Portezuelo;55;N
;;4600515;Colegio Provincial J.Z. Agüero Vera;MOSEÑOR ANGELELLI S/N;;Malanzan;40;N
;;4600516;Colegio Secundario;PARAJE NIÑO ALCALDE;;Nacate;70;N
;;4600387;Escuela Aerotécnica;ELTOTORAL;;El Totoral;120;O
;;;Exp. Pilot. Itinerante;;;Nacate;70;N
;;4600451;Esc. N° 117;AGUA DE LA PIEDRA;;Agua de la Pied;55;O
;;4600461;Esc. N° 128;LA LAGUNA;;La Laguna;120;O
;;4600460;Esc. N° 132;EL RODEO;;La Aguada;120;O
;;4600376;Esc. N° 148;CARRAL DE ISSAC;;Corral de Isaac;120;J
;;4600463;Esc. N° 221;AGUA DE AGUIRRE;;Agua de Aguirre;120;O
;;4600340;Esc. N° 317;LA SUSPENSIÓN;;La Suspensión;120;J
;;4600450;Esc. N° 35;VILLA CASANA;;Villa Casana;100;O
;;4600396;Esc. N° 131;ALTO BAYO;;Alto Valle;120;O
;;4600794;Prog. De Educ. A Distancia Adul;;;San Martin;30;J
;;4600481;CEJA (Bachillerato para Adultos);;;Chepes;;O
;;4600517;CEJA (Bachillerato Para Adultos);;;El Portezuelo;55;N
;;4600483;Colegio Secundario;SARMIENTO N° 126;;Milagro;30;I
;;4600484;Escuela Pcial. De Comercio;SARMIENTO Nº 126;;Milagro;30;I
;;4600430;Colegio Secundario;SANTA RITA DE CATUNA;;Catuna;40;I
;;4600478;Colegio Secundario;FACUNDO QUIROGA S/Nº;;Desiderio Tello;40;O
;;4600521;Colegio Secundario;CASTRO BARROS S/Nº;;Olpas;70;I
;;4600437;Colegio Secundario;AMBIL;;Ambil;70;I
;;4600424;Bachillerato para Adultos;;;Milagro;30;I
;;4600429;CEJA (Centro Educ. para Jov. Y Adultos);;;Catuna;40;I
;;;C.A.S.C;;;Milagro;30;I
